X,Y,Nearest Task
1284,517,REACUP
1297,517,REACUP
1310,517,REACUP
1323,517,REACUP
1336,517,REACUP
1349,517,REACUP
1362,517,REACUP
1375,517,REACUP
1388,517,REACUP
1401,517,REACUP
1414,517,REACUP
1427,517,REACUP
1440,517,REACUP
1453,517,REACUP
1466,517,REACUP
1479,517,REACUP
1492,517,REACUP
1505,517,REACUP
1518,517,REACUP
1531,517,REACUP
1544,517,REACUP
1557,517,REACUP
1570,517,REACUP
1583,517,REACUP
1596,517,REACUP
1609,517,REACUP
1622,517,REACUP
1635,517,REACUP
1637,517,REACUP
1637,530,REACUP
1637,543,REACUP
1637,556,REACUP
1637,569,REACUP
1637,582,REACUP
1637,595,REACUP
1637,608,REACUP
1637,621,REACUP
1637,634,REACUP
1637,647,REACUP
1637,660,REACUP
1637,673,REACUP
1637,686,REACUP
1637,699,REACUP
1637,712,REACUP
1637,725,REACUP
1637,738,REACUP
1637,751,REACUP
1637,764,REACUP
1637,777,REACUP
1637,790,REACUP
1637,803,REACUP
1637,816,REACUP
1637,833,REACUP
1637,849,REACUP
1637,869,REACUP
1637,887,REACUP
1637,900,REACUP
1637,917,REACUP
1637,933,REACUP
1625,933,REACUP
1613,933,REACUP
1601,933,REACUP
1589,933,REACUP
1577,933,REACUP
1564,933,REACUP
1552,933,REACUP
1540,933,REACUP
1528,933,REACUP
1516,933,REACUP
1504,933,REACUP
1488,933,REACUP
1474,933,REACUP
1461,933,REACUP
1449,933,REACUP
1437,933,REACUP
1425,933,REACUP
1413,933,REACUP
1401,933,REACUP
1401,946,REACUP
1401,959,REACUP
1401,972,REACUP
1401,985,REACUP
1401,998,REACUP
1401,1011,REACUP
1401,1024,REACUP
1401,1037,REACUP
1401,1054,REACUP
1401,1067,REACUP
1401,1080,REACUP
1401,1093,REACUP
1401,1106,REACUP
1401,1119,REACUP
1401,1137,REACUP
1401,1155,REACUP
1401,1168,REACUP
1401,1181,REACUP
1401,1194,REACUP
1401,1207,REACUP
1401,1237,REACUP
1401,1254,REACUP
1401,1267,REACUP
1401,1280,REACUP
1401,1293,REACUP
1401,1306,REACUP
1401,1323,REACUP
1401,1337,REACUP
1401,1350,REACUP
1401,1363,REACUP
1401,1376,REACUP
1401,1389,REACUP
1401,1402,REACUP
1401,1415,REACUP
1401,1428,REACUP
1401,1441,REACUP
1401,1455,REACUP
1401,1468,REACDOWN
1401,1481,REACDOWN
1401,1494,REACDOWN
1401,1507,REACDOWN
1401,1520,REACDOWN
1401,1533,REACDOWN
1401,1546,REACDOWN
1401,1559,REACDOWN
1401,1572,REACDOWN
1401,1585,REACDOWN
1401,1598,REACDOWN
1401,1611,REACDOWN
1401,1624,REACDOWN
1401,1637,REACDOWN
1401,1650,REACDOWN
1401,1663,REACDOWN
1401,1676,REACDOWN
1401,1689,REACDOWN
1401,1702,REACDOWN
1401,1715,REACDOWN
1401,1728,REACDOWN
1401,1742,REACDOWN
1401,1761,REACDOWN
1401,1777,REACDOWN
1401,1790,REACDOWN
1401,1803,REACDOWN
1401,1816,REACDOWN
1401,1829,REACDOWN
1401,1842,REACDOWN
1401,1855,REACDOWN
1401,1868,REACDOWN
1401,1881,REACDOWN
1401,1894,REACDOWN
1401,1907,REACDOWN
1401,1920,REACDOWN
1401,1933,REACDOWN
1401,1946,REACDOWN
1414,1946,REACDOWN
1427,1946,REACDOWN
1440,1946,REACDOWN
1453,1946,REACDOWN
1466,1946,REACDOWN
1479,1946,REACDOWN
1487,1946,REACDOWN
1487,1955,REACDOWN
1487,1968,REACDOWN
1487,1981,REACDOWN
1487,1994,REACDOWN
1487,2007,REACDOWN
1487,2020,REACDOWN
1487,2033,REACDOWN
1487,2040,REACDOWN
1496,2040,REACDOWN
1505,2040,REACDOWN
1518,2040,REACDOWN
1531,2040,REACDOWN
1544,2040,REACDOWN
1557,2040,REACDOWN
1570,2040,REACDOWN
1583,2040,REACDOWN
1596,2040,REACDOWN
1609,2040,REACDOWN
1622,2040,REACDOWN
1629,2040,REACDOWN
1629,2053,REACDOWN
1629,2066,REACDOWN
1629,2079,REACDOWN
1629,2092,REACDOWN
1629,2105,REACDOWN
1629,2118,REACDOWN
1629,2131,REACDOWN
1629,2144,REACDOWN
1629,2157,REACDOWN
1629,2170,REACDOWN
1629,2183,REACDOWN
1629,2196,REACDOWN
1629,2209,REACDOWN
1629,2222,REACDOWN
1629,2235,REACDOWN
1629,2248,REACDOWN
1629,2261,REACDOWN
1629,2274,REACDOWN
1629,2287,REACDOWN
1629,2300,REACDOWN
1629,2313,REACDOWN
1629,2326,REACDOWN
1629,2339,REACDOWN
1629,2352,REACDOWN
1629,2365,REACDOWN
1617,2365,REACDOWN
1605,2365,REACDOWN
1593,2365,REACDOWN
1581,2365,REACDOWN
1569,2365,REACDOWN
1556,2365,REACDOWN
1544,2365,REACDOWN
1532,2365,REACDOWN
1520,2365,REACDOWN
1508,2365,REACDOWN
1496,2365,REACDOWN
1484,2365,REACDOWN
1472,2365,REACDOWN
1460,2365,REACDOWN
1442,2365,REACDOWN
1457,2365,REACDOWN
1472,2365,REACDOWN
1488,2365,REACDOWN
1503,2365,REACDOWN
1518,2365,REACDOWN
1533,2365,REACDOWN
1519,2365,REACDOWN
1505,2365,REACDOWN
1491,2365,REACDOWN
1477,2365,REACDOWN
1462,2365,REACDOWN
1448,2365,REACDOWN
1434,2365,REACDOWN
1420,2365,REACDOWN
1405,2365,REACDOWN
1391,2365,REACDOWN
1376,2365,REACDOWN
1361,2365,REACDOWN
1347,2365,REACDOWN
1333,2365,REACDOWN
1318,2365,REACDOWN
1304,2365,REACDOWN
1289,2365,REACDOWN
1289,2380,REACDOWN
1289,2395,REACDOWN
1289,2410,REACDOWN
1289,2425,REACDOWN
1289,2440,REACDOWN
