X,Y,Nearest Task
1284,517,REACUP
1297,517,REACUP
1310,517,REACUP
1323,517,REACUP
1336,517,REACUP
1349,517,REACUP
1362,517,REACUP
1375,517,REACUP
1393,517,REACUP
1407,517,REACUP
1420,517,REACUP
1433,517,REACUP
1446,517,REACUP
1459,517,REACUP
1472,517,REACUP
1485,517,REACUP
1499,517,REACUP
1514,517,REACUP
1527,517,REACUP
1540,517,REACUP
1553,517,REACUP
1566,517,REACUP
1566,534,REACUP
1566,547,REACUP
1566,560,REACUP
1566,573,REACUP
1566,586,REACUP
1566,599,REACUP
1566,600,REACUP
1579,600,REACUP
1592,600,REACUP
1605,600,REACUP
1618,600,REACUP
1631,600,REACUP
1637,600,REACUP
1637,613,REACUP
1637,626,REACUP
1637,639,REACUP
1637,652,REACUP
1637,665,REACUP
1637,678,REACUP
1637,691,REACUP
1637,704,REACUP
1637,717,REACUP
1637,730,REACUP
1637,743,REACUP
1637,752,REACUP
1637,743,REACUP
1637,734,REACUP
1646,725,REACUP
1646,713,REACUP
1646,700,REACUP
1646,688,REACUP
1655,679,REACUP
1668,679,REACUP
1681,679,REACUP
1694,679,REACUP
1707,679,REACUP
1720,679,REACUP
1733,679,REACUP
1746,679,REACUP
1759,679,REACUP
1772,679,REACUP
1786,679,REACUP
1804,679,REACUP
1817,679,REACUP
1830,679,REACUP
1855,679,REACUP
1875,679,MED
1892,679,MED
1905,679,MED
1918,679,MED
1950,679,MED
1968,679,MED
1981,679,MED
1994,679,MED
2007,679,MED
2020,679,MED
2033,679,MED
2046,679,MED
2059,679,MED
2072,679,MED
2085,679,MED
2099,679,MED
2116,679,CAFELEF
2129,679,CAFELEF
2142,679,CAFELEF
2155,679,CAFELEF
2174,679,CAFELEF
2193,679,CAFELEF
2206,679,CAFELEF
2223,679,CAFELEF
2238,679,CAFELEF
2251,679,CAFELEF
2264,679,CAFELEF
2277,679,CAFELEF
2290,679,CAFELEF
2303,679,CAFELEF
2316,679,CAFELEF
2329,679,CAFELEF
2342,679,CAFELEF
2342,692,CAFELEF
2342,705,CAFELEF
2342,718,MED
2342,731,MED
2342,744,MED
2342,757,MED
2342,770,MED
2342,783,MED
2342,796,MED
2342,809,MED
2342,822,MED
2342,835,MED
2342,848,MED
2342,861,MED
2342,874,MED
2342,887,MED
2342,900,MED
2342,913,MED
2342,926,MED
2342,939,MED
2342,952,MED
2342,965,MED
2342,978,MED
2342,991,MED
2342,1004,MED
2342,1017,MED
2342,1030,MED
2342,1043,MED
2342,1056,MED
2342,1069,MED
2342,1082,MED
2342,1095,MED
2342,1108,MED
2342,1121,MED
2342,1134,MED
2342,1147,MED
2342,1160,MED
2342,1173,MED
2342,1186,MED
2342,1199,MED
2342,1212,MED
2342,1225,MED
2342,1238,MED
2342,1251,MED
2342,1264,MED
2342,1277,MED
2342,1290,MED
2342,1303,MED
2342,1316,MED
2342,1329,MED
2342,1342,MED
2351,1351,MED
2364,1351,MED
2377,1351,MED
2391,1351,MED
2404,1351,MED
2422,1351,MED
2439,1351,MED
2452,1351,MED
2465,1351,MED
2478,1351,MED
2491,1351,MED
2505,1351,MED
2523,1351,MED
2545,1351,MED
2571,1351,MED
2571,1369,MED
2571,1385,MED
2571,1398,MED
2571,1411,MED
2571,1424,MED
2571,1437,MED
2571,1450,MED
2571,1463,MED
2571,1473,MED
2571,1460,MED
2571,1447,MED
2571,1435,MED
2571,1423,MED
2571,1411,MED
