X,Y,Nearest Task
1284,517,REACUP
1284,505,REACUP
1284,493,REACUP
1284,474,REACUP
1284,467,REACUP
1284,480,REACUP
1284,493,REACUP
1284,506,REACUP
1284,519,REACUP
1284,532,REACUP
1284,545,REACUP
1284,554,REACUP
1297,554,REACUP
1310,554,REACUP
1323,554,REACUP
1341,554,REACUP
1359,554,REACUP
1372,554,REACUP
1385,554,REACUP
1398,554,REACUP
1411,554,REACUP
1424,554,REACUP
1437,554,REACUP
1450,554,REACUP
1463,554,REACUP
1476,554,REACUP
1489,554,REACUP
1502,554,REACUP
1515,554,REACUP
1528,554,REACUP
1541,554,REACUP
1554,554,REACUP
1571,554,REACUP
1586,554,REACUP
1599,554,REACUP
1612,554,REACUP
1625,554,REACUP
1625,567,REACUP
1625,580,REACUP
1625,593,REACUP
1625,606,REACUP
1625,619,REACUP
1625,632,REACUP
1625,645,REACUP
1625,658,REACUP
1625,671,REACUP
1625,684,REACUP
1625,701,REACUP
1625,714,REACUP
1625,727,REACUP
1625,742,REACUP
1625,755,REACUP
1637,755,REACUP
1637,746,REACUP
1637,737,REACUP
1637,728,REACUP
1646,719,REACUP
1655,710,REACUP
1664,701,REACUP
1673,692,REACUP
1686,692,REACUP
1699,692,REACUP
1716,692,REACUP
1729,692,REACUP
1742,692,REACUP
1755,692,REACUP
1768,692,REACUP
1781,692,REACUP
1794,692,REACUP
1807,692,REACUP
1820,692,REACUP
1833,692,REACUP
1846,692,REACUP
1859,692,MED
1872,692,MED
1885,692,MED
1898,692,MED
1911,692,MED
1924,692,MED
1937,692,MED
1950,692,MED
1963,692,MED
1976,692,MED
1989,692,MED
2002,692,MED
2015,692,MED
2028,692,MED
2041,692,MED
2054,692,MED
2067,692,MED
2080,692,MED
2093,692,MED
2106,692,MED
2119,692,MED
2132,692,MED
2145,692,MED
2158,692,MED
2171,692,MED
2184,692,MED
2197,692,MED
2210,692,MED
2223,692,CAFELEF
2236,692,CAFELEF
2249,692,CAFELEF
2262,692,CAFELEF
2275,692,CAFELEF
2288,692,CAFELEF
2301,692,CAFELEF
2314,692,CAFELEF
2327,692,CAFELEF
2340,692,CAFELEF
2355,692,CAFELEF
2370,692,CAFELEF
2383,692,CAFELEF
2396,692,CAFELEF
2409,692,CAFELEF
2422,692,CAFELEF
2435,692,CAFELEF
2448,692,CAFELEF
2461,692,CAFELEF
2474,692,CAFELEF
2487,692,CAFELEF
2500,692,CAFELEF
2513,692,CAFELEF
2526,692,CAFELEF
2539,692,CAFELEF
2555,692,CAFELEF
2571,692,CAFELEF
2584,692,CAFELEF
2597,692,CAFELEF
2614,692,CAFELEF
2632,692,CAFELEF
2645,692,CAFELEF
2662,692,CAFELEF
2676,692,CAFELEF
2689,692,CAFELEF
2702,692,CAFELEF
2715,692,CAFELEF
2728,692,CAFELEF
2741,692,CAFELEF
2754,692,CAFELEF
2767,692,CAFELEF
2780,692,CAFELEF
2793,692,CAFELEF
2806,692,CAFELEF
2819,692,CAFELEF
2832,692,CAFELEF
2845,692,CAFELEF
2858,692,CAFELEF
2858,680,CAFELEF
2867,671,CAFELEF
2876,662,CAFELEF
2885,653,CAFELEF
2894,644,CAFELEF
2903,635,CAFELEF
2912,626,CAFELEF
2921,617,CAFELEF
2930,608,CAFELEF
2943,608,CAFELEF
2956,608,CAFELEF
2969,608,CAFELEF
2982,608,CAFELEF
2995,608,CAFELEF
3008,608,CAFELEF
3021,608,CAFELEF
3034,608,CAFELEF
3047,608,CAFELEF
3060,608,CAFELEF
3073,608,CAFELEF
3086,608,CAFELEF
3099,608,CAFELEF
3112,608,CAFELEF
3125,608,CAFELEF
3138,608,CAFELEF
3151,608,CAFELEF
3158,608,CAFELEF
3158,599,CAFELEF
3160,590,CAFELEF
3169,581,CAFELEF
3178,572,CAFELEF
3187,563,CAFELEF
3200,563,CAFELEF
3213,563,CAFELEF
3226,563,CAFELEF
3239,563,CAFELEF
3252,563,CAFELEF
3265,563,CAFELEF
3278,563,CAFELEF
3291,563,CAFERIGHT
3304,563,CAFERIGHT
3317,563,CAFERIGHT
3330,563,CAFERIGHT
3343,563,CAFERIGHT
3356,563,CAFERIGHT
3369,563,CAFERIGHT
3382,563,CAFERIGHT
3395,563,CAFERIGHT
3408,563,CAFERIGHT
3428,563,CAFERIGHT
3448,563,CAFERIGHT
3461,563,CAFERIGHT
3474,563,CAFERIGHT
3487,563,CAFERIGHT
3500,563,CAFERIGHT
3513,563,CAFERIGHT
3526,563,CAFERIGHT
3539,563,CAFERIGHT
3552,563,CAFERIGHT
3565,563,CAFERIGHT
3578,563,CAFERIGHT
3591,563,CAFERIGHT
3604,563,CAFERIGHT
3617,563,CAFERIGHT
3626,572,CAFERIGHT
3635,581,CAFERIGHT
3644,590,CAFERIGHT
3653,599,CAFERIGHT
3662,608,CAFERIGHT
3674,620,CAFERIGHT
3693,639,CAFERIGHT
3705,651,CAFERIGHT
3721,651,CAFERIGHT
3734,651,CAFERIGHT
3747,651,CAFERIGHT
3760,651,CAFERIGHT
3773,651,CAFERIGHT
3786,651,CAFERIGHT
3799,651,CAFERIGHT
3812,651,CAFERIGHT
3826,651,CAFERIGHT
3844,651,CAFERIGHT
3857,651,CAFERIGHT
3870,651,CAFERIGHT
3883,651,CAFERIGHT
3896,651,CAFERIGHT
3909,651,CAFERIGHT
3922,651,CAFERIGHT
3935,651,CAFERIGHT
3948,651,CAFERIGHT
3961,651,CAFERIGHT
3978,651,CAFERIGHT
3991,651,CAFERIGHT
4004,651,CAFERIGHT
4017,651,CAFERIGHT
4030,651,CAFERIGHT
4043,651,CAFERIGHT
4056,651,CAFERIGHT
4069,651,CAFERIGHT
4082,651,CAFERIGHT
4095,651,CAFERIGHT
4108,651,CAFERIGHT
4121,651,CAFERIGHT
4134,651,CAFERIGHT
4147,651,CAFERIGHT
4160,651,CAFERIGHT
4173,651,CAFERIGHT
4186,651,CAFERIGHT
4199,651,O2
4216,651,O2
4229,651,O2
4242,651,O2
4255,651,O2
4268,651,O2
4281,651,O2
4294,651,O2
4307,651,O2
4320,651,O2
4333,651,O2
4346,651,O2
4359,651,O2
4376,651,O2
4376,664,O2
4376,677,O2
4376,690,O2
4376,703,O2
4376,716,O2
4376,729,O2
4376,736,O2
4389,736,O2
4402,736,O2
4424,736,O2
4437,736,O2
4450,736,O2
4463,736,O2
4476,736,O2
4489,736,O2
4502,736,O2
4515,736,O2
4515,749,O2
4515,762,O2
4515,775,O2
4515,788,O2
4515,801,O2
4515,814,O2
4515,827,O2
4515,840,O2
4515,857,O2
4515,870,O2
4515,883,O2
4515,896,O2
4515,909,O2
4515,922,O2
4515,935,O2
4515,948,O2
4515,961,O2
4515,974,O2
4515,987,O2
4515,1000,O2
4515,1013,O2
4515,1026,O2
4515,1039,O2
4515,1052,O2
4515,1065,O2
4515,1078,O2
4515,1091,O2
4515,1104,O2
4515,1116,O2
4515,1129,O2
4515,1142,O2
4515,1155,O2
4515,1168,O2
4515,1181,O2
4515,1194,O2
4515,1207,O2
4515,1220,O2
4515,1233,O2
4524,1242,O2
4537,1242,O2
4550,1242,O2
4563,1242,O2
4576,1242,O2
4589,1242,O2
4602,1242,O2
4615,1242,O2
4628,1242,O2
4641,1242,O2
4654,1242,O2
4667,1242,O2
4680,1242,O2
4693,1242,O2
4706,1242,O2
4719,1242,O2
4739,1242,O2
4758,1242,O2
4771,1242,O2
4784,1242,O2
4810,1242,NAVI
4810,1258,NAVI
4810,1271,NAVI
4810,1286,NAVI
4810,1299,NAVI
4810,1312,NAVI
4810,1325,NAVI
4810,1338,NAVI
4810,1351,NAVI
4810,1364,NAVI
4810,1377,NAVI
4821,1388,NAVI
4840,1388,NAVI
4853,1388,NAVI
4869,1388,NAVI
4889,1388,NAVI
4904,1388,NAVI
