X,Y,Nearest Task
1284,517,REACUP
1284,504,REACUP
1284,491,REACUP
1284,479,REACUP
1284,467,REACUP
1297,467,REACUP
1311,467,REACUP
1329,467,REACUP
1346,467,REACUP
1359,467,REACUP
1372,467,REACUP
1385,467,REACUP
1401,467,REACUP
1414,467,REACUP
1427,467,REACUP
1439,467,REACUP
1452,467,REACUP
1465,467,REACUP
1478,467,REACUP
1491,467,REACUP
1504,467,REACUP
1517,467,REACUP
1530,467,REACUP
1543,467,REACUP
1556,467,REACUP
1569,467,REACUP
1580,478,REACUP
1589,487,REACUP
1598,496,REACUP
1610,508,REACUP
1619,517,REACUP
1628,526,REACUP
1637,535,REACUP
1637,548,REACUP
1637,570,REACUP
1637,585,REACUP
1637,605,REACUP
1637,618,REACUP
1637,630,REACUP
1647,640,REACUP
1659,640,REACUP
1672,640,REACUP
1691,640,REACUP
1704,640,REACUP
1717,640,REACUP
1730,640,REACUP
1743,640,REACUP
1756,640,REACUP
1769,640,REACUP
1786,640,REACUP
1805,640,REACUP
1824,640,REACUP
1843,640,REACUP
1856,640,REACUP
1875,640,CAFELEF
1894,640,CAFELEF
1908,640,CAFELEF
1921,640,CAFELEF
1934,640,CAFELEF
1947,640,CAFELEF
1960,640,CAFELEF
1973,640,CAFELEF
1986,640,CAFELEF
1999,640,CAFELEF
2012,640,CAFELEF
2025,640,CAFELEF
2038,640,CAFELEF
2051,640,CAFELEF
2064,640,CAFELEF
2077,640,CAFELEF
2090,640,CAFELEF
2103,640,CAFELEF
2116,640,CAFELEF
2129,640,CAFELEF
2142,640,CAFELEF
2155,640,CAFELEF
2173,640,CAFELEF
2197,640,CAFELEF
2221,640,CAFELEF
2248,640,CAFELEF
2264,640,CAFELEF
2277,640,CAFELEF
2290,640,CAFELEF
2303,640,CAFELEF
2316,640,CAFELEF
2329,640,CAFELEF
2346,640,CAFELEF
2359,640,CAFELEF
2372,640,CAFELEF
2385,640,CAFELEF
2398,640,CAFELEF
2411,640,CAFELEF
2424,640,CAFELEF
2437,640,CAFELEF
2450,640,CAFELEF
2463,640,CAFELEF
2476,640,CAFELEF
2489,640,CAFELEF
2502,640,CAFELEF
2515,640,CAFELEF
2528,640,CAFELEF
2543,640,CAFELEF
2562,640,CAFELEF
2581,640,CAFELEF
2594,640,CAFELEF
2607,640,CAFELEF
2620,640,CAFELEF
2633,640,CAFELEF
2646,640,CAFELEF
2659,640,CAFELEF
2672,640,CAFELEF
2691,640,CAFELEF
2705,640,CAFELEF
2718,640,CAFELEF
2731,640,CAFELEF
2744,640,CAFELEF
2757,640,CAFELEF
2770,640,CAFELEF
2783,640,CAFELEF
2796,640,CAFELEF
2805,631,CAFELEF
2815,621,CAFELEF
2824,612,CAFELEF
2833,603,CAFELEF
2842,594,CAFELEF
2851,585,CAFELEF
2860,576,CAFELEF
2869,567,CAFELEF
2878,558,CAFELEF
2891,558,CAFELEF
2904,558,CAFELEF
2917,558,CAFELEF
2930,558,CAFELEF
