X,Y,Nearest Task
1284,517,REACUP
1284,505,REACUP
1284,491,REACUP
1284,470,REACUP
1284,467,REACUP
1299,467,REACUP
1315,467,REACUP
1328,467,REACUP
1341,467,REACUP
1357,467,REACUP
1372,467,REACUP
1385,467,REACUP
1400,467,REACUP
1415,467,REACUP
1428,467,REACUP
1441,467,REACUP
1454,467,REACUP
1467,467,REACUP
1480,467,REACUP
1493,467,REACUP
1506,467,REACUP
1519,467,REACUP
1532,467,REACUP
1545,467,REACUP
1558,467,REACUP
1571,467,REACUP
1584,467,REACUP
1597,467,REACUP
1618,467,REACUP
1627,476,REACUP
1636,485,REACUP
1637,495,REACUP
1637,504,REACUP
1637,513,REACUP
1637,522,REACUP
1637,531,REACUP
1637,544,REACUP
1637,558,REACUP
1637,571,REACUP
1637,584,REACUP
1637,597,REACUP
1637,610,REACUP
1637,623,REACUP
1637,636,REACUP
1637,649,REACUP
1637,663,REACUP
1637,676,REACUP
1637,689,REACUP
1637,702,REACUP
1637,715,REACUP
1637,728,REACUP
1637,741,REACUP
1637,767,REACUP
1637,782,REACUP
1637,797,REACUP
1637,816,REACUP
1637,829,REACUP
1637,842,REACUP
1637,855,REACUP
1637,868,REACUP
1637,881,REACUP
1637,894,REACUP
1637,907,REACUP
1637,920,REACUP
1637,933,REACUP
1637,946,REACUP
1637,959,REACUP
1625,959,REACUP
1613,959,REACUP
1601,959,REACUP
1589,959,REACUP
1577,959,REACUP
1565,959,REACUP
1553,959,REACUP
1541,959,REACUP
1529,959,REACUP
1517,959,REACUP
1505,959,REACUP
1493,959,REACUP
1481,959,REACUP
1469,959,REACUP
1456,959,REACUP
1444,959,REACUP
1431,959,REACUP
1419,959,REACUP
1406,959,REACUP
1394,959,REACUP
1394,972,REACUP
1394,985,REACUP
1394,998,REACUP
1394,1011,REACUP
1394,1024,REACUP
1394,1037,REACUP
1394,1050,REACUP
1394,1063,REACUP
1394,1076,REACUP
1394,1089,REACUP
1394,1102,REACUP
1394,1115,REACUP
1394,1128,REACUP
1394,1141,REACUP
1394,1154,REACUP
1394,1167,REACUP
1394,1180,REACUP
1394,1193,REACUP
1394,1206,REACUP
1394,1219,REACUP
1394,1232,REACUP
1394,1245,REACUP
1394,1258,REACUP
1394,1271,REACUP
1394,1284,REACUP
1394,1297,REACUP
1394,1310,REACUP
1394,1323,REACUP
1394,1336,REACUP
1394,1349,REACUP
1394,1366,REACUP
1394,1386,REACUP
1394,1402,REACUP
1394,1420,REACUP
1394,1433,REACUP
1394,1454,REACUP
1394,1470,REACDOWN
1394,1483,REACDOWN
1394,1496,REACDOWN
1394,1509,REACDOWN
1394,1522,REACDOWN
1381,1522,REACDOWN
1369,1522,REACDOWN
1357,1522,REACDOWN
1345,1522,REACDOWN
1333,1522,REACDOWN
1320,1522,REACDOWN
1289,1522,REACDOWN
1271,1522,REACDOWN
1246,1522,REACDOWN
1234,1522,REACDOWN
1222,1522,REACDOWN
1210,1522,REACDOWN
1198,1522,REACDOWN
1186,1522,REACDOWN
1174,1522,REACDOWN
1162,1522,REACDOWN
1149,1522,REACDOWN
1136,1522,REACDOWN
1124,1522,REACDOWN
1112,1522,REACDOWN
1100,1522,REACDOWN
1088,1522,REACDOWN
1076,1522,REACDOWN
1064,1522,REACDOWN
1051,1522,REACDOWN
1039,1522,REACDOWN
1027,1522,REACDOWN
1014,1522,REACDOWN
1002,1522,REACDOWN
988,1522,REACDOWN
976,1522,REACDOWN
964,1522,REACDOWN
952,1522,REACDOWN
940,1522,REACDOWN
928,1522,REACDOWN
915,1522,REACDOWN
903,1522,REACDOWN
891,1522,REACDOWN
878,1522,REACDOWN
866,1522,REACDOWN
854,1522,REACDOWN
