X,Y,Nearest Task
1284,517,REACUP
1297,517,REACUP
1310,517,REACUP
1323,517,REACUP
1336,517,REACUP
1349,517,REACUP
1368,517,REACUP
1381,517,REACUP
1394,517,REACUP
1407,517,REACUP
1420,517,REACUP
1434,517,REACUP
1447,517,REACUP
1460,517,REACUP
1473,517,REACUP
1486,517,REACUP
1499,517,REACUP
1512,517,REACUP
1525,517,REACUP
1538,517,REACUP
1551,517,REACUP
1564,517,REACUP
1564,530,REACUP
1564,543,REACUP
1564,556,REACUP
1564,569,REACUP
1564,582,REACUP
1564,595,REACUP
1564,600,REACUP
1573,609,REACUP
1582,618,REACUP
1595,618,REACUP
1608,618,REACUP
1621,618,REACUP
1634,618,REACUP
1637,618,REACUP
1637,631,REACUP
1637,644,REACUP
1637,657,REACUP
1637,670,REACUP
1637,683,REACUP
1637,696,REACUP
1637,709,REACUP
1637,766,REACUP
1637,779,REACUP
1637,792,REACUP
1637,805,REACUP
1637,818,REACUP
1637,831,REACUP
1625,831,REACUP
1613,831,REACUP
1601,831,REACUP
1589,831,REACUP
1577,831,REACUP
1572,831,REACUP
1572,844,REACUP
1572,857,REACUP
1572,870,REACUP
1572,883,REACUP
1572,896,REACUP
1572,909,REACUP
1572,922,REACUP
1572,935,REACUP
1572,948,REACUP
1572,961,REACUP
1572,974,REACUP
1560,974,REACUP
1548,974,REACUP
1536,974,REACUP
1524,974,REACUP
1512,974,REACUP
1500,974,REACUP
1488,974,REACUP
1476,974,REACUP
1464,974,REACUP
1452,974,REACUP
1440,974,REACUP
1428,974,REACUP
1428,987,REACUP
1428,1000,REACUP
1428,1017,REACUP
1428,1035,REACUP
1428,1048,REACUP
1428,1064,REACUP
1428,1080,REACUP
1428,1093,REACUP
1428,1106,REACUP
1428,1119,REACUP
1428,1132,REACUP
1428,1145,REACUP
1428,1158,REACUP
1428,1171,REACUP
1428,1184,REACUP
1428,1197,REACUP
1428,1209,REACUP
1428,1222,REACUP
1428,1235,REACUP
1428,1248,REACUP
1428,1262,REACUP
1428,1280,REACUP
1428,1293,REACUP
1428,1306,REACUP
1428,1321,REACUP
1428,1337,REACUP
1428,1350,REACUP
1428,1363,REACUP
1428,1376,REACUP
1428,1389,REACUP
1428,1402,REACUP
1428,1415,REACUP
1428,1428,REACUP
1428,1441,REACUP
1428,1457,REACUP
1428,1470,REACDOWN
1428,1483,REACDOWN
1428,1496,REACDOWN
1428,1509,REACDOWN
1428,1522,REACDOWN
1428,1535,REACDOWN
1428,1549,REACDOWN
1428,1565,REACDOWN
1428,1578,REACDOWN
1428,1591,REACDOWN
1428,1604,REACDOWN
1428,1617,REACDOWN
1428,1630,REACDOWN
1428,1643,REACDOWN
1428,1656,REACDOWN
1428,1669,REACDOWN
1428,1682,REACDOWN
1428,1695,REACDOWN
1428,1708,REACDOWN
1428,1721,REACDOWN
1428,1734,REACDOWN
1428,1747,REACDOWN
1428,1760,REACDOWN
1428,1773,REACDOWN
1428,1786,REACDOWN
1428,1799,REACDOWN
1428,1812,REACDOWN
1428,1825,REACDOWN
1428,1838,REACDOWN
1428,1851,REACDOWN
1428,1864,REACDOWN
1428,1877,REACDOWN
1428,1890,REACDOWN
1428,1903,REACDOWN
1428,1916,REACDOWN
1428,1929,REACDOWN
1428,1942,REACDOWN
1428,1955,REACDOWN
1428,1968,REACDOWN
1441,1968,REACDOWN
1454,1968,REACDOWN
1467,1968,REACDOWN
1480,1968,REACDOWN
1487,1968,REACDOWN
1487,1987,REACDOWN
1487,2001,REACDOWN
1487,2014,REACDOWN
1487,2027,REACDOWN
1487,2040,REACDOWN
1496,2040,REACDOWN
1506,2040,REACDOWN
1521,2040,REACDOWN
1534,2040,REACDOWN
1550,2040,REACDOWN
1568,2040,REACDOWN
1583,2040,REACDOWN
1596,2040,REACDOWN
1609,2040,REACDOWN
1622,2040,REACDOWN
1622,2053,REACDOWN
1622,2066,REACDOWN
1622,2079,REACDOWN
1622,2092,REACDOWN
1622,2109,REACDOWN
1622,2122,REACDOWN
1622,2139,REACDOWN
1622,2154,REACDOWN
1622,2167,REACDOWN
1622,2180,REACDOWN
1622,2193,REACDOWN
1622,2205,REACDOWN
1622,2219,REACDOWN
1622,2232,REACDOWN
1622,2245,REACDOWN
1622,2258,REACDOWN
1634,2269,REACDOWN
1648,2269,REACDOWN
1661,2269,REACDOWN
1674,2269,REACDOWN
1687,2269,REACDOWN
1700,2269,REACDOWN
1713,2269,REACDOWN
1726,2269,REACDOWN
1739,2269,ELEC
1752,2269,ELEC
1765,2269,ELEC
1778,2269,ELEC
1791,2269,ELEC
1804,2269,ELEC
1821,2269,ELEC
1839,2269,ELEC
1852,2269,ELEC
1865,2269,ELEC
1878,2269,ELEC
1891,2269,ELEC
1904,2269,ELEC
1917,2269,ELEC
1934,2269,ELEC
1949,2269,ELEC
1962,2269,ELEC
1975,2269,ELEC
1988,2269,ELEC
1997,2278,ELEC
1997,2291,ELEC
1997,2304,ELEC
1997,2317,ELEC
1997,2330,ELEC
1997,2343,ELEC
1997,2356,ELEC
1997,2369,ELEC
1997,2382,ELEC
1997,2395,ELEC
1997,2408,ELEC
1997,2421,ELEC
1997,2438,ELEC
1997,2458,ELEC
1997,2473,ELEC
1997,2486,ELEC
1997,2499,ELEC
1997,2512,ELEC
1997,2525,ELEC
1997,2538,ELEC
1997,2551,ELEC
2006,2560,ELEC
2015,2569,ELEC
2028,2569,ELEC
2041,2569,ELEC
2054,2569,ELEC
2067,2569,ELEC
2080,2569,ELEC
2093,2569,ELEC
2106,2569,ELEC
2119,2569,ELEC
2132,2569,ELEC
2145,2569,ELEC
2158,2569,ELEC
2171,2569,ELEC
2184,2569,ELEC
2197,2569,ELEC
2210,2569,ELEC
2223,2569,ELEC
2236,2569,ELEC
2249,2569,ELEC
2262,2569,ELEC
2275,2569,ELEC
2288,2569,ELEC
2301,2569,ELEC
2314,2569,ELEC
2327,2569,ELEC
2340,2569,ELEC
2353,2569,ELEC
2366,2569,ELEC
2379,2569,ELEC
2392,2569,ELEC
2405,2569,ELEC
2418,2569,ELEC
2431,2569,ELEC
2444,2569,ELEC
2457,2569,ELEC
2470,2569,ELEC
2483,2569,ELEC
2496,2569,ELEC
2509,2569,ELEC
2522,2569,ELEC
2535,2569,ELEC
2548,2569,ELEC
2561,2569,STOR
2574,2569,STOR
2587,2569,STOR
2600,2569,STOR
2613,2569,STOR
2626,2569,STOR
2639,2569,STOR
2652,2569,STOR
2665,2569,STOR
2678,2569,STOR
2691,2569,STOR
2704,2569,STOR
2717,2569,STOR
2730,2569,STOR
2743,2569,STOR
2756,2569,STOR
2769,2569,STOR
2782,2569,STOR
2795,2569,STOR
2808,2569,STOR
2821,2569,STOR
2834,2569,STOR
2847,2569,STOR
2860,2569,STOR
2869,2560,STOR
2878,2551,STOR
2878,2539,STOR
2878,2527,STOR
2878,2515,STOR
2878,2503,STOR
2878,2490,STOR
2887,2481,STOR
2896,2472,STOR
2915,2453,STOR
2928,2440,STOR
2937,2431,STOR
2946,2422,STOR
2955,2413,STOR
2964,2404,STOR
2976,2392,STOR
2985,2383,STOR
2994,2381,STOR
3003,2381,STOR
3003,2394,STOR
3003,2407,STOR
3003,2420,STOR
3003,2433,STOR
3003,2446,STOR
3003,2459,STOR
3003,2472,STOR
3003,2485,STOR
3003,2498,STOR
3003,2511,STOR
3003,2531,STOR
3003,2544,STOR
3003,2557,STOR
3003,2570,STOR
3003,2583,STOR
3003,2604,STOR
3003,2617,STOR
3003,2630,STOR
3003,2643,STOR
3003,2656,STOR
3003,2669,STOR
3003,2688,STOR
3003,2701,STOR
3003,2714,STOR
3003,2727,STOR
3003,2740,STOR
3003,2753,STOR
3003,2766,STOR
3003,2779,STOR
3012,2788,STOR
3025,2788,STOR
3038,2788,STOR
3051,2788,STOR
3064,2788,STOR
3077,2788,STOR
3090,2788,STOR
3103,2788,STOR
3116,2788,STOR
3130,2788,STOR
3143,2788,STOR
