X,Y,Nearest Task
1284,517,REACUP
1297,517,REACUP
1310,517,REACUP
1323,517,REACUP
1336,517,REACUP
1349,517,REACUP
1362,517,REACUP
1375,517,REACUP
1393,517,REACUP
1406,517,REACUP
1419,517,REACUP
1432,517,REACUP
1445,517,REACUP
1458,517,REACUP
1473,517,REACUP
1488,517,REACUP
1505,534,REACUP
1520,549,REACUP
1537,566,REACUP
1537,585,REACUP
1537,598,REACUP
1537,600,REACUP
1546,600,REACUP
1555,600,REACUP
1564,600,REACUP
1577,600,REACUP
1590,600,REACUP
1603,600,REACUP
1616,600,REACUP
1629,600,REACUP
1637,600,REACUP
1637,609,REACUP
1637,618,REACUP
1637,627,REACUP
1646,636,REACUP
1655,645,REACUP
1664,654,REACUP
1677,654,REACUP
1690,654,REACUP
1703,654,REACUP
1716,654,REACUP
1729,654,REACUP
1742,654,REACUP
1755,654,REACUP
1768,654,REACUP
1781,654,REACUP
1794,654,REACUP
1807,654,REACUP
1820,654,REACUP
1833,654,REACUP
1846,654,REACUP
1859,654,REACUP
1872,654,MED
1885,654,MED
1898,654,CAFELEF
1911,654,CAFELEF
1924,654,CAFELEF
1937,654,CAFELEF
1950,654,CAFELEF
1963,654,CAFELEF
1976,654,CAFELEF
1989,654,CAFELEF
2002,654,CAFELEF
2015,654,CAFELEF
2028,654,CAFELEF
2041,654,CAFELEF
2054,654,CAFELEF
2067,654,CAFELEF
2080,654,CAFELEF
2093,654,CAFELEF
2106,654,CAFELEF
2119,654,CAFELEF
2132,654,CAFELEF
2145,654,CAFELEF
2158,654,CAFELEF
2171,654,CAFELEF
2184,654,CAFELEF
2197,654,CAFELEF
2210,654,CAFELEF
2223,654,CAFELEF
2236,654,CAFELEF
2249,654,CAFELEF
2262,654,CAFELEF
2275,654,CAFELEF
2288,654,CAFELEF
2301,654,CAFELEF
2314,654,CAFELEF
2327,654,CAFELEF
2340,654,CAFELEF
2353,654,CAFELEF
2366,654,CAFELEF
2379,654,CAFELEF
2392,654,CAFELEF
2405,654,CAFELEF
2418,654,CAFELEF
2431,654,CAFELEF
2444,654,CAFELEF
2457,654,CAFELEF
2470,654,CAFELEF
2483,654,CAFELEF
2496,654,CAFELEF
2509,654,CAFELEF
2522,654,CAFELEF
2535,654,CAFELEF
2548,654,CAFELEF
2561,654,CAFELEF
2574,654,CAFELEF
2587,654,CAFELEF
2600,654,CAFELEF
2613,654,CAFELEF
2626,654,CAFELEF
2639,654,CAFELEF
2652,654,CAFELEF
2665,654,CAFELEF
2678,654,CAFELEF
2691,654,CAFELEF
2704,654,CAFELEF
2717,654,CAFELEF
2730,654,CAFELEF
2743,654,CAFELEF
2756,654,CAFELEF
2769,654,CAFELEF
2782,654,CAFELEF
2795,654,CAFELEF
2808,654,CAFELEF
2821,654,CAFELEF
2834,654,CAFELEF
2847,654,CAFELEF
2860,654,CAFELEF
2869,663,CAFELEF
2878,672,CAFELEF
2887,681,CAFELEF
2896,690,CAFELEF
2905,699,CAFELEF
2914,708,CAFELEF
2923,717,CAFELEF
2932,726,CAFELEF
2941,735,CAFELEF
2950,744,CAFELEF
2959,753,CAFELEF
2968,762,CAFELEF
2977,771,CAFELEF
2986,780,CAFELEF
2995,789,MED
3004,798,MED
3013,807,MED
3022,816,MED
3031,825,MED
3040,834,MED
3049,843,MED
3049,856,MED
3049,869,MED
3049,882,MED
3049,885,MED
3061,885,MED
3074,885,MED
3087,885,MED
3100,885,MED
3113,885,MED
3126,885,MED
3139,885,MED
3152,885,MED
3169,885,MED
3187,885,MED
3200,885,MED
3213,885,MED
3226,885,MED
3239,885,MED
3252,885,MED
3265,885,MED
3278,885,O2
3291,885,O2
3304,885,O2
3317,885,O2
3330,885,O2
3343,885,O2
3356,885,O2
3369,885,O2
3382,885,O2
3395,885,O2
3408,885,O2
3421,885,O2
3434,885,O2
3443,876,O2
3452,867,O2
3461,858,O2
3470,849,O2
3479,840,O2
3488,831,O2
3497,822,O2
3506,813,O2
3515,804,O2
3528,804,O2
3541,804,O2
3554,804,O2
3567,804,O2
3580,804,O2
3593,804,O2
3606,804,O2
3619,804,O2
3632,804,O2
3645,804,O2
3658,804,O2
3671,804,O2
3684,804,O2
3697,804,O2
3710,804,O2
3723,804,O2
3736,804,O2
3749,804,O2
3762,804,O2
3771,795,O2
3780,786,O2
3789,777,O2
3798,768,O2
3807,759,O2
3816,750,O2
3829,750,O2
3842,750,O2
3855,750,O2
3868,750,O2
3881,750,O2
3894,750,O2
3907,750,O2
3920,750,O2
3933,750,O2
3946,750,O2
3959,750,O2
3972,750,O2
3980,750,O2
3980,741,O2
3980,732,O2
3989,723,O2
3998,714,O2
4007,705,O2
4020,705,O2
4033,705,O2
4046,705,O2
4059,705,O2
4072,705,O2
4085,705,O2
4098,705,O2
4111,705,O2
4124,705,O2
4141,705,O2
4154,705,O2
4171,705,O2
4188,705,O2
4201,705,O2
4214,705,O2
4227,705,O2
4240,705,O2
4254,705,O2
4269,705,O2
4282,705,O2
4295,705,O2
4308,705,O2
4321,705,O2
4334,705,O2
4347,705,O2
4360,705,O2
4373,705,O2
4382,696,O2
4391,687,O2
4399,679,O2
4408,670,O2
4417,661,O2
4426,652,O2
4435,643,O2
4437,634,O2
4437,625,O2
4437,616,O2
4437,607,CAFERIGHT
4437,598,CAFERIGHT
4437,589,CAFERIGHT
4437,580,CAFERIGHT
4437,571,CAFERIGHT
4437,562,CAFERIGHT
4437,553,CAFERIGHT
4437,544,CAFERIGHT
4446,535,CAFERIGHT
4457,524,CAFERIGHT
4468,513,CAFERIGHT
4477,504,CAFERIGHT
4486,495,CAFERIGHT
4495,486,CAFERIGHT
4505,476,CAFERIGHT
4514,467,CAFERIGHT
4527,467,CAFERIGHT
4540,467,CAFERIGHT
4553,467,CAFERIGHT
4566,467,CAFERIGHT
4579,467,CAFERIGHT
4592,467,CAFERIGHT
4605,467,CAFERIGHT
4618,467,CAFERIGHT
4631,467,CAFERIGHT
4644,467,CAFERIGHT
4645,467,CAFERIGHT
4633,467,CAFERIGHT
4621,467,CAFERIGHT
4609,467,CAFERIGHT
4597,467,CAFERIGHT
4585,467,CAFERIGHT
4573,467,CAFERIGHT
4560,467,CAFERIGHT
4548,467,CAFERIGHT
4536,467,CAFERIGHT
4524,467,CAFERIGHT
4512,467,CAFERIGHT
4500,467,CAFERIGHT
4488,467,CAFERIGHT
4488,455,CAFERIGHT
4488,443,CAFERIGHT
4488,431,CAFERIGHT
4488,419,CAFERIGHT
4488,408,CAFERIGHT
