X,Y,Nearest Task
4557,435,CAFERIGHT
4539,435,CAFERIGHT
4521,435,CAFERIGHT
4504,435,CAFERIGHT
4485,435,CAFERIGHT
4467,435,CAFERIGHT
4450,435,CAFERIGHT
4444,447,CAFERIGHT
4444,459,CAFERIGHT
4444,476,CAFERIGHT
4444,493,CAFERIGHT
4444,511,CAFERIGHT
4444,529,CAFERIGHT
4444,544,CAFERIGHT
4432,556,CAFERIGHT
4419,569,CAFERIGHT
4410,581,CAFERIGHT
4410,599,CAFERIGHT
4410,617,O2
4410,634,O2
4410,651,O2
4398,663,O2
4386,676,O2
4374,688,O2
4361,701,O2
4347,714,O2
4347,731,O2
4347,736,O2
4336,736,O2
4324,736,O2
4307,736,O2
4290,736,O2
4273,736,O2
4256,736,O2
4239,736,O2
4223,736,O2
4205,736,O2
4188,736,O2
4169,736,O2
4148,736,O2
4132,736,O2
4114,736,O2
4097,736,O2
4079,736,O2
4061,736,O2
4044,736,O2
4025,736,O2
4008,736,O2
3990,736,O2
3972,736,O2
3953,736,O2
3936,736,O2
3914,736,O2
3889,736,O2
3869,736,O2
3851,736,O2
3833,736,O2
3815,736,O2
3798,736,O2
3779,736,O2
3761,736,O2
3743,736,O2
3725,736,O2
3708,736,O2
3690,736,CAFERIGHT
3673,736,CAFERIGHT
3655,736,CAFERIGHT
3636,736,CAFERIGHT
3618,736,CAFERIGHT
3600,736,CAFERIGHT
3587,724,CAFERIGHT
3587,706,CAFERIGHT
3587,690,CAFERIGHT
3587,673,CAFERIGHT
3587,656,CAFERIGHT
3587,639,CAFERIGHT
3576,627,CAFERIGHT
3563,615,CAFERIGHT
3546,615,CAFERIGHT
3528,615,CAFERIGHT
3510,615,CAFERIGHT
3492,615,CAFERIGHT
3481,615,CAFERIGHT
3481,603,CAFERIGHT
3476,590,CAFERIGHT
3463,578,CAFERIGHT
3451,566,CAFERIGHT
3439,554,CAFERIGHT
3426,541,CAFERIGHT
3414,529,CAFERIGHT
3402,517,CAFERIGHT
3390,504,CAFERIGHT
3377,492,CAFERIGHT
3364,479,CAFERIGHT
3352,467,CAFERIGHT
3340,455,CAFERIGHT
3327,442,CAFERIGHT
3315,430,CAFERIGHT
3315,412,CAFERIGHT
3315,395,CAFERIGHT
3315,376,CAFERIGHT
3315,359,CAFERIGHT
3315,341,CAFERIGHT
3315,324,CAFERIGHT
3315,307,CAFERIGHT
3315,290,CAFERIGHT
3315,272,CAFERIGHT
3303,259,CAFERIGHT
3290,247,CAFELEF
3276,233,CAFELEF
3259,233,CAFELEF
3241,233,CAFELEF
3222,233,CAFELEF
3205,233,CAFELEF
3187,233,CAFELEF
3169,233,CAFELEF
3151,233,CAFELEF
3133,233,CAFELEF
3115,233,CAFELEF
3098,233,CAFELEF
3080,233,CAFELEF
3062,233,CAFELEF
3044,233,CAFELEF
3027,233,CAFELEF
3010,233,CAFELEF
2992,233,CAFELEF
2974,233,CAFELEF
2956,233,CAFELEF
2938,233,CAFELEF
2920,233,CAFELEF
2902,233,CAFELEF
2884,233,CAFELEF
2867,233,CAFELEF
2855,221,CAFELEF
2855,204,CAFELEF
2829,204,CAFELEF
