X,Y,Nearest Task
4557,435,CAFERIGHT
4557,454,CAFERIGHT
4557,472,CAFERIGHT
4557,490,CAFERIGHT
4544,503,CAFERIGHT
4528,518,CAFERIGHT
4507,518,CAFERIGHT
4487,518,CAFERIGHT
4470,518,CAFERIGHT
4453,518,CAFERIGHT
4444,518,CAFERIGHT
4444,532,CAFERIGHT
4431,545,CAFERIGHT
4431,562,CAFERIGHT
4431,579,CAFERIGHT
4431,596,CAFERIGHT
4431,613,O2
4431,631,O2
4431,648,O2
4431,666,O2
4419,678,O2
4407,690,O2
4389,690,O2
4372,690,O2
4354,690,O2
4337,690,O2
4319,690,O2
4303,690,O2
4286,690,O2
4267,690,O2
4249,690,O2
4230,690,O2
4213,690,O2
4195,690,O2
4178,690,O2
4160,690,O2
4141,690,O2
4123,690,O2
4105,690,O2
4087,690,O2
4069,690,O2
4051,690,O2
4033,690,O2
4014,690,O2
3994,690,O2
3976,690,O2
3958,690,CAFERIGHT
3939,690,CAFERIGHT
3921,690,CAFERIGHT
3904,690,CAFERIGHT
3886,690,CAFERIGHT
3867,690,CAFERIGHT
3848,690,CAFERIGHT
3830,690,CAFERIGHT
3811,690,CAFERIGHT
3794,690,CAFERIGHT
3776,690,CAFERIGHT
3757,690,CAFERIGHT
3738,690,CAFERIGHT
3719,690,CAFERIGHT
3701,690,CAFERIGHT
3683,690,CAFERIGHT
3665,690,CAFERIGHT
3647,690,CAFERIGHT
3630,690,CAFERIGHT
3611,690,CAFERIGHT
3598,703,CAFERIGHT
3585,716,CAFERIGHT
3572,729,CAFERIGHT
3572,747,CAFERIGHT
3572,764,O2
3572,782,O2
3572,799,O2
3572,821,O2
3560,833,O2
3542,833,O2
3524,833,O2
3507,833,O2
3489,833,O2
3476,833,O2
3476,821,O2
3476,812,O2
3476,824,O2
3476,836,O2
3476,849,O2
3463,861,O2
3451,874,O2
3432,892,O2
3416,908,O2
3402,922,O2
3390,935,O2
3372,935,O2
3353,935,O2
3335,935,O2
3318,935,O2
3299,935,O2
3282,935,O2
3264,935,MED
3251,922,MED
3239,910,MED
3226,897,MED
3213,884,MED
3200,871,MED
3187,858,MED
3175,846,MED
3162,845,MED
3150,832,MED
3137,819,MED
3124,806,MED
3111,794,CAFELEF
3098,781,CAFELEF
3086,768,CAFELEF
3067,768,CAFELEF
3048,768,CAFELEF
3030,768,CAFELEF
3011,768,CAFELEF
2994,768,CAFELEF
2975,768,CAFELEF
2958,768,CAFELEF
2940,768,CAFELEF
2926,754,CAFELEF
2913,741,CAFELEF
2900,728,CAFELEF
2888,716,CAFELEF
2875,703,CAFELEF
2856,703,CAFELEF
2838,703,CAFELEF
2819,703,CAFELEF
2801,703,CAFELEF
2783,703,CAFELEF
2765,703,CAFELEF
2747,703,CAFELEF
2729,703,CAFELEF
2710,703,CAFELEF
2692,703,CAFELEF
2673,703,CAFELEF
2655,703,CAFELEF
2636,703,CAFELEF
2618,703,CAFELEF
2599,703,CAFELEF
2581,703,CAFELEF
2563,703,CAFELEF
2545,703,CAFELEF
2527,703,CAFELEF
2510,703,CAFELEF
2492,703,CAFELEF
2473,703,CAFELEF
2454,703,CAFELEF
2436,703,CAFELEF
2418,703,CAFELEF
2400,703,CAFELEF
2382,703,CAFELEF
2363,703,CAFELEF
2344,703,CAFELEF
2326,703,CAFELEF
2307,703,MED
2289,703,MED
2270,703,MED
2251,703,MED
2233,703,MED
2215,703,MED
2196,703,MED
2178,703,MED
2159,703,MED
2139,703,MED
2120,703,MED
2102,703,MED
2083,703,MED
2065,703,MED
2046,703,MED
2028,703,MED
2009,703,MED
1990,703,MED
1970,703,MED
1952,703,MED
1933,703,MED
1915,703,MED
1896,703,MED
1876,703,MED
1858,703,MED
1840,703,REACUP
1821,703,REACUP
1802,703,REACUP
1785,703,REACUP
1766,703,REACUP
1741,703,REACUP
1718,703,REACUP
1699,703,REACUP
1680,703,REACUP
1662,703,REACUP
1642,703,REACUP
1623,703,REACUP
1610,716,REACUP
1610,735,REACUP
1610,754,REACUP
1610,772,REACUP
1610,791,REACUP
1610,810,REACUP
1610,829,REACUP
1610,847,REACUP
1610,866,REACUP
1610,885,REACUP
1610,903,REACUP
1597,917,REACUP
1583,930,REACUP
1565,930,REACUP
1547,930,REACUP
1529,930,REACUP
1511,930,REACUP
1492,930,REACUP
1474,930,REACUP
1456,930,REACUP
1437,930,REACUP
1423,944,REACUP
1411,956,REACUP
1398,969,REACUP
1398,987,REACUP
1398,1007,REACUP
1398,1026,REACUP
1398,1045,REACUP
1398,1063,REACUP
1398,1082,REACUP
1398,1101,REACUP
1398,1120,REACUP
1398,1138,REACUP
1398,1158,REACUP
1398,1177,REACUP
1398,1195,REACUP
1398,1214,REACUP
1398,1233,REACUP
1398,1252,REACUP
1398,1271,REACUP
1398,1290,REACUP
1398,1309,REACUP
1398,1328,REACUP
1398,1347,REACUP
1398,1366,REACUP
1398,1386,REACUP
1398,1405,REACUP
1398,1424,REACUP
1412,1438,REACUP
1425,1451,REACUP
1438,1464,REACUP
1452,1478,REACDOWN
1466,1492,REACDOWN
1479,1505,REACDOWN
1492,1518,REACDOWN
1506,1532,REACDOWN
1518,1544,REACDOWN
1532,1544,REACDOWN
1545,1544,REACDOWN
1558,1544,REACDOWN
1573,1544,REACDOWN
1586,1544,REACDOWN
1605,1544,REACDOWN
1624,1544,REACDOWN
1643,1544,REACDOWN
1662,1544,ELEC
1681,1544,ELEC
1701,1544,ELEC
1720,1544,ELEC
1741,1544,ELEC
1760,1544,ELEC
1779,1544,ELEC
1798,1544,ELEC
1817,1544,ELEC
1837,1544,ELEC
1857,1544,ELEC
1876,1544,ELEC
1897,1544,ELEC
1911,1558,ELEC
1911,1577,ELEC
1911,1596,ELEC
1911,1615,ELEC
1911,1633,ELEC
1911,1652,ELEC
