X,Y,Nearest Task
4557,435,CAFERIGHT
4557,453,CAFERIGHT
4557,471,CAFERIGHT
4557,490,CAFERIGHT
4557,509,CAFERIGHT
4544,521,CAFERIGHT
4531,535,CAFERIGHT
4513,535,CAFERIGHT
4495,535,CAFERIGHT
4476,535,CAFERIGHT
4451,535,CAFERIGHT
4429,535,CAFERIGHT
4411,535,CAFERIGHT
4410,535,CAFERIGHT
4410,547,CAFERIGHT
4410,560,CAFERIGHT
4410,578,CAFERIGHT
4410,597,CAFERIGHT
4410,615,O2
4410,633,O2
4410,651,O2
4410,669,O2
4410,687,O2
4392,687,O2
4373,687,O2
4356,687,O2
4339,687,O2
4322,687,O2
4304,687,O2
4287,687,O2
4269,687,O2
4251,687,O2
4234,687,O2
4216,687,O2
4198,687,O2
4181,687,O2
4163,687,O2
4146,687,O2
4128,687,O2
4110,687,O2
4092,687,O2
4073,687,O2
4055,687,O2
4036,687,O2
4018,687,O2
4000,687,O2
3982,687,CAFERIGHT
3970,700,O2
3970,718,O2
3970,736,O2
3970,753,O2
3970,771,O2
3970,789,O2
3970,807,O2
3970,824,O2
3970,842,O2
3970,859,O2
3970,877,O2
3970,895,O2
3970,912,O2
3970,930,O2
3970,948,O2
3970,965,O2
3970,983,O2
3970,1003,O2
3970,1024,O2
3957,1037,O2
3938,1037,O2
3920,1037,O2
3902,1037,O2
3883,1037,O2
3865,1037,O2
3846,1037,O2
3828,1037,O2
3810,1037,O2
3796,1050,O2
3783,1063,O2
3771,1075,O2
3770,1088,O2
3770,1100,O2
3770,1113,O2
3770,1126,O2
3770,1139,O2
3770,1152,O2
3770,1165,O2
3757,1178,O2
3744,1191,O2
3726,1191,O2
3707,1191,O2
3688,1191,O2
3670,1191,O2
3651,1191,O2
3634,1191,O2
3616,1191,O2
3598,1191,O2
3580,1191,O2
3561,1191,O2
3542,1191,O2
3524,1191,O2
3503,1191,O2
3482,1191,O2
3461,1191,O2
3443,1191,O2
3425,1191,O2
3407,1191,O2
3390,1191,O2
3372,1191,O2
3359,1204,O2
3359,1222,O2
3359,1240,O2
3359,1257,O2
3359,1275,O2
3359,1292,O2
3359,1310,O2
3359,1328,O2
3359,1346,O2
3359,1364,O2
3359,1381,O2
3359,1399,O2
3359,1417,O2
3359,1434,O2
3359,1451,O2
3359,1470,O2
3359,1487,O2
3359,1505,O2
3359,1524,O2
3359,1541,O2
3359,1561,O2
3359,1579,O2
3359,1597,O2
3359,1615,O2
3359,1633,O2
3359,1650,O2
3359,1668,O2
3359,1686,MED
3359,1705,MED
3359,1723,MED
3359,1741,MED
3359,1759,MED
3359,1777,MED
3359,1795,MED
3359,1813,MED
3359,1831,MED
3359,1849,MED
3359,1867,ELEC
3359,1885,ELEC
3359,1903,ELEC
3359,1921,ELEC
3359,1939,STOR
3359,1957,STOR
3371,1970,STOR
3384,1983,STOR
3398,1996,STOR
3411,2009,STOR
3423,2022,STOR
3423,2040,STOR
3423,2061,STOR
3436,2073,STOR
3449,2087,STOR
3463,2100,STOR
3475,2113,STOR
3489,2126,STOR
3489,2146,STOR
3489,2164,STOR
3489,2183,STOR
3489,2202,STOR
3489,2220,STOR
3489,2239,STOR
3489,2257,STOR
3489,2276,STOR
3489,2295,STOR
3489,2313,STOR
3489,2331,STOR
3489,2350,STOR
3489,2369,STOR
3489,2387,STOR
3489,2407,STOR
3489,2426,STOR
3489,2445,STOR
3489,2463,STOR
3489,2482,STOR
3489,2500,STOR
3489,2519,STOR
3489,2537,STOR
3489,2556,STOR
3489,2574,STOR
3489,2593,STOR
3489,2612,STOR
3489,2630,STOR
3489,2648,STOR
3489,2667,STOR
3489,2685,STOR
3489,2704,STOR
3489,2723,STOR
3489,2750,STOR
3489,2774,STOR
3489,2793,STOR
3489,2812,STOR
3489,2830,STOR
3489,2848,STOR
3489,2867,STOR
