X,Y,Nearest Task
4557,435,CAFERIGHT
4539,435,CAFERIGHT
4522,435,CAFERIGHT
4504,435,CAFERIGHT
4487,435,CAFERIGHT
4471,435,CAFERIGHT
4455,435,CAFERIGHT
4444,435,CAFERIGHT
4444,448,CAFERIGHT
4444,465,CAFERIGHT
4444,482,CAFERIGHT
4444,500,CAFERIGHT
4444,518,CAFERIGHT
4444,536,CAFERIGHT
4444,544,CAFERIGHT
4431,557,CAFERIGHT
4419,569,CAFERIGHT
4410,580,CAFERIGHT
4410,593,CAFERIGHT
4410,605,CAFERIGHT
4410,618,O2
4394,618,O2
4391,618,CAFERIGHT
4391,628,O2
4391,646,O2
4391,662,O2
4391,681,O2
4391,703,O2
4391,719,O2
4391,736,O2
4403,736,O2
4415,736,O2
4426,736,O2
4439,736,O2
4451,736,O2
4462,736,O2
4474,736,O2
4487,736,O2
4499,748,O2
4511,760,O2
4523,772,O2
4534,783,O2
4534,801,O2
4534,818,O2
4534,835,O2
4534,852,O2
4534,869,O2
4534,887,O2
4534,904,O2
4534,921,O2
4534,938,O2
4534,956,O2
4534,973,O2
4534,990,O2
4534,1008,O2
4534,1026,O2
4534,1043,O2
4534,1060,O2
4534,1077,O2
4534,1096,O2
4534,1114,O2
4534,1138,O2
4534,1160,O2
4534,1177,O2
4534,1194,O2
4534,1211,O2
4534,1228,O2
4534,1246,O2
4534,1264,O2
4552,1264,O2
4571,1264,O2
4588,1264,O2
4605,1264,O2
4622,1264,O2
4640,1264,O2
4657,1264,O2
4674,1264,O2
4691,1264,O2
4707,1264,O2
4723,1264,O2
4740,1264,O2
4757,1264,O2
4774,1264,O2
4792,1264,NAVI
4810,1264,NAVI
4823,1277,NAVI
4823,1297,NAVI
4823,1314,NAVI
4823,1332,NAVI
4823,1349,NAVI
4823,1371,NAVI
4823,1387,NAVI
4823,1404,NAVI
4834,1416,NAVI
4851,1416,NAVI
4868,1416,NAVI
4886,1416,NAVI
4903,1416,NAVI
4921,1416,NAVI
4938,1416,NAVI
4956,1416,NAVI
4974,1416,NAVI
4992,1416,NAVI
5009,1416,NAVI
5026,1416,NAVI
5045,1416,NAVI
5062,1416,NAVI
5079,1416,NAVI
5096,1416,NAVI
5114,1416,NAVI
5132,1416,NAVI
5150,1416,NAVI
5170,1416,NAVI
5187,1416,NAVI
5204,1416,NAVI
5223,1416,NAVI
5240,1416,NAVI
5259,1416,NAVI
5276,1416,NAVI
5298,1416,NAVI
5315,1416,NAVI
5332,1416,NAVI
5349,1416,NAVI
5367,1416,NAVI
5384,1416,NAVI
5401,1416,NAVI
5419,1416,NAVI
5431,1404,NAVI
5431,1386,NAVI
5431,1369,NAVI
5431,1352,NAVI
5431,1335,NAVI
5431,1317,NAVI
5431,1300,NAVI
5431,1279,NAVI
5431,1261,NAVI
5431,1245,NAVI
5431,1228,NAVI
5431,1211,NAVI
