X,Y,Nearest Task
4557,435,CAFERIGHT
4540,435,CAFERIGHT
4522,435,CAFERIGHT
4504,435,CAFERIGHT
4486,435,CAFERIGHT
4466,435,CAFERIGHT
4450,435,CAFERIGHT
4444,435,CAFERIGHT
4444,452,CAFERIGHT
4444,471,CAFERIGHT
4444,488,CAFERIGHT
4444,506,CAFERIGHT
4444,523,CAFERIGHT
4444,540,CAFERIGHT
4444,544,CAFERIGHT
4432,556,CAFERIGHT
4419,569,CAFERIGHT
4410,581,CAFERIGHT
4410,593,CAFERIGHT
4410,606,CAFERIGHT
4410,618,O2
4410,635,O2
4410,653,O2
4410,670,O2
4410,687,O2
4410,705,O2
4410,722,O2
4410,736,O2
4424,736,O2
4437,736,O2
4450,736,O2
4466,736,O2
4480,736,O2
4492,748,O2
4492,766,O2
4492,783,O2
4492,800,O2
4492,817,O2
4492,835,O2
4492,852,O2
4492,869,O2
4492,886,O2
4492,904,O2
4492,921,O2
4492,941,O2
4492,958,O2
4492,975,O2
4492,993,O2
4492,1012,O2
4492,1030,O2
4492,1048,O2
4492,1065,O2
4492,1083,O2
4492,1100,O2
4492,1118,O2
4492,1136,O2
4492,1154,O2
4492,1171,O2
4492,1188,O2
4478,1201,O2
4466,1214,O2
4453,1226,O2
4441,1238,O2
4423,1238,O2
4406,1238,O2
4389,1238,O2
4372,1238,O2
4355,1238,O2
4339,1238,O2
4322,1238,O2
4305,1238,O2
4286,1238,O2
4269,1238,O2
4251,1238,O2
4233,1238,O2
4216,1238,O2
4203,1251,O2
4203,1268,O2
4203,1285,O2
4203,1301,O2
4191,1313,O2
4174,1313,O2
4156,1313,O2
4139,1313,O2
4122,1313,O2
4104,1313,O2
4087,1313,O2
4070,1313,O2
4052,1313,O2
4034,1313,O2
4034,1296,O2
4034,1278,O2
4034,1261,O2
4034,1244,O2
4034,1227,O2
4020,1227,O2
