X,Y,Nearest Task
4557,435,CAFERIGHT
4557,453,CAFERIGHT
4557,472,CAFERIGHT
4538,491,CAFERIGHT
4514,491,CAFERIGHT
4496,491,CAFERIGHT
4480,491,CAFERIGHT
4462,491,CAFERIGHT
4445,491,CAFERIGHT
4444,491,CAFERIGHT
4444,503,CAFERIGHT
4444,521,CAFERIGHT
4444,539,CAFERIGHT
4444,544,CAFERIGHT
4431,557,CAFERIGHT
4413,557,CAFERIGHT
4410,557,CAFERIGHT
4410,569,CAFERIGHT
4410,581,CAFERIGHT
4410,598,CAFERIGHT
4410,617,O2
4410,634,O2
4410,652,O2
4410,670,O2
4410,687,O2
4410,705,O2
4410,722,O2
4398,735,O2
4379,735,O2
4362,735,O2
4344,735,O2
4326,735,O2
4308,735,O2
4291,735,O2
4274,735,O2
4257,735,O2
4240,735,O2
4223,735,O2
4206,735,O2
4188,735,O2
4170,735,O2
4153,735,O2
4135,735,O2
4117,735,O2
4099,735,O2
4082,735,O2
4065,735,O2
4047,735,O2
4031,735,O2
4012,735,O2
3994,735,O2
3974,735,O2
3957,735,O2
3939,735,O2
3921,735,O2
3903,735,O2
3886,735,O2
3868,735,O2
3849,735,O2
3830,735,O2
3811,735,O2
3793,735,O2
3775,735,O2
3758,735,O2
3740,735,O2
3721,735,O2
3701,735,O2
3684,735,CAFERIGHT
3666,735,CAFERIGHT
3647,735,CAFERIGHT
3629,735,CAFERIGHT
3611,735,CAFERIGHT
3593,735,CAFERIGHT
3575,735,CAFERIGHT
3562,722,CAFERIGHT
3562,704,CAFERIGHT
3562,686,CAFERIGHT
3562,668,CAFERIGHT
3562,650,CAFERIGHT
3562,632,CAFERIGHT
3562,613,CAFERIGHT
3562,595,CAFERIGHT
3562,577,CAFERIGHT
3562,559,CAFERIGHT
3544,559,CAFERIGHT
3526,559,CAFERIGHT
3502,559,CAFERIGHT
3478,559,CAFERIGHT
3458,559,CAFERIGHT
3440,559,CAFERIGHT
3421,559,CAFERIGHT
3403,559,CAFERIGHT
3386,559,CAFERIGHT
3368,559,CAFERIGHT
3350,559,CAFERIGHT
3332,559,CAFERIGHT
3314,559,CAFERIGHT
3296,559,CAFERIGHT
3277,559,CAFELEF
3258,559,CAFELEF
3239,559,CAFELEF
3220,559,CAFELEF
3202,559,CAFELEF
3184,559,CAFELEF
3166,559,CAFELEF
3148,559,CAFELEF
3128,559,CAFELEF
3110,559,CAFELEF
3092,559,CAFELEF
3071,559,CAFELEF
3058,571,CAFELEF
3046,584,CAFELEF
3033,597,CAFELEF
3020,610,CAFELEF
3007,623,CAFELEF
2989,623,CAFELEF
2969,623,CAFELEF
2951,623,CAFELEF
2934,623,CAFELEF
2914,623,CAFELEF
2896,623,CAFELEF
2878,623,CAFELEF
2860,623,CAFELEF
2845,637,CAFELEF
2832,651,CAFELEF
2819,663,CAFELEF
2807,675,CAFELEF
2795,688,CAFELEF
2777,688,CAFELEF
2758,688,CAFELEF
2739,688,CAFELEF
2722,688,CAFELEF
2704,688,CAFELEF
2685,688,CAFELEF
2665,688,CAFELEF
2647,688,CAFELEF
2629,688,CAFELEF
2612,688,CAFELEF
2593,688,CAFELEF
2574,688,CAFELEF
2555,688,CAFELEF
2537,688,CAFELEF
2519,688,CAFELEF
2500,688,CAFELEF
2482,688,CAFELEF
2463,688,CAFELEF
2445,688,CAFELEF
2426,688,CAFELEF
2408,688,CAFELEF
2390,688,CAFELEF
2372,688,CAFELEF
2354,688,CAFELEF
2336,688,CAFELEF
2318,688,CAFELEF
2300,688,CAFELEF
2281,688,CAFELEF
2263,688,CAFELEF
2244,688,CAFELEF
2226,688,CAFELEF
2206,688,CAFELEF
2183,688,MED
2165,688,MED
2146,688,MED
2128,688,MED
2109,688,MED
2091,688,MED
2072,688,MED
2053,688,MED
2035,688,MED
2016,688,MED
1997,688,MED
1972,688,MED
1950,688,MED
1929,688,MED
1910,688,MED
1891,688,MED
1873,688,MED
1855,688,REACUP
1837,688,REACUP
1819,688,REACUP
1800,688,REACUP
1781,688,REACUP
1761,688,REACUP
1742,688,REACUP
1723,688,REACUP
1705,688,REACUP
1687,688,REACUP
1668,688,REACUP
1649,688,REACUP
1630,688,REACUP
1611,688,REACUP
1611,706,REACUP
1611,725,REACUP
1611,744,REACUP
1611,762,REACUP
1611,781,REACUP
