X,Y,Nearest Task
4557,435,CAFERIGHT
4535,435,CAFERIGHT
4513,435,CAFERIGHT
4492,435,CAFERIGHT
4475,435,CAFERIGHT
4458,435,CAFERIGHT
4444,435,CAFERIGHT
4444,454,CAFERIGHT
4444,471,CAFERIGHT
4444,488,CAFERIGHT
4444,505,CAFERIGHT
4444,523,CAFERIGHT
4444,540,CAFERIGHT
4444,544,CAFERIGHT
4432,556,CAFERIGHT
4415,556,CAFERIGHT
4410,556,CAFERIGHT
4410,569,CAFERIGHT
4410,587,CAFERIGHT
4410,606,CAFERIGHT
4410,624,O2
4410,642,O2
4410,660,O2
4410,677,O2
4410,695,O2
4389,695,O2
4372,695,O2
4354,695,O2
4336,695,O2
4318,695,O2
4300,695,O2
4283,695,O2
4267,695,O2
4250,695,O2
4232,695,O2
4215,695,O2
4199,695,O2
4182,695,O2
4165,695,O2
4147,695,O2
4130,695,O2
4112,695,O2
4094,695,O2
4076,695,O2
4059,695,O2
4040,695,O2
4019,695,O2
4002,695,O2
3984,695,O2
3966,695,O2
3948,695,O2
3930,695,CAFERIGHT
3917,708,O2
3903,722,O2
3903,739,O2
3903,759,O2
3903,777,O2
3903,794,O2
3903,811,O2
3903,829,O2
3903,846,O2
3903,863,O2
3903,880,O2
3903,897,O2
3903,914,O2
3903,932,O2
3903,948,O2
3903,965,O2
3903,982,O2
3903,999,O2
3903,1015,O2
3903,1033,O2
3903,1050,O2
3892,1061,O2
3868,1061,O2
3845,1061,O2
3826,1061,O2
3809,1061,O2
3792,1061,O2
3780,1073,O2
3770,1085,O2
3770,1102,O2
3770,1120,O2
3770,1138,O2
3770,1155,O2
3770,1168,O2
3757,1181,O2
3744,1194,O2
3732,1206,O2
3715,1206,O2
3696,1206,O2
3679,1206,O2
3667,1218,O2
3655,1230,O2
3642,1243,O2
3629,1256,O2
3611,1256,O2
3593,1256,O2
3576,1256,O2
3559,1256,O2
3542,1256,O2
3525,1256,O2
3507,1256,O2
3489,1256,O2
3471,1256,O2
3452,1256,O2
3434,1256,O2
3416,1256,O2
3399,1256,O2
3382,1256,O2
3364,1256,O2
3346,1256,O2
3328,1256,O2
3314,1269,MED
3314,1286,MED
3314,1304,MED
3314,1321,MED
3314,1341,MED
3314,1359,MED
3314,1377,MED
3314,1394,MED
3314,1412,MED
3314,1429,MED
3314,1447,MED
3314,1465,MED
3314,1482,MED
3314,1500,MED
3314,1518,MED
3314,1536,MED
3314,1553,MED
3314,1572,MED
3314,1590,MED
3314,1608,MED
3314,1626,MED
3314,1644,MED
3314,1663,MED
3314,1682,MED
3314,1700,MED
3314,1717,MED
3314,1735,MED
3314,1752,MED
3314,1771,MED
3314,1789,MED
3314,1807,MED
3314,1825,MED
3314,1842,MED
3314,1861,ELEC
3314,1878,ELEC
3314,1896,ELEC
3314,1914,ELEC
3314,1935,ELEC
3327,1948,ELEC
3339,1961,STOR
3362,1961,STOR
3383,1961,STOR
3400,1961,STOR
3419,1961,STOR
3436,1961,STOR
3454,1961,STOR
3476,1961,STOR
3494,1961,STOR
3502,1961,STOR
3502,1974,STOR
3502,1992,STOR
3502,2010,STOR
3502,2029,STOR
3502,2047,STOR
3502,2066,STOR
3502,2084,STOR
3502,2103,STOR
3502,2121,STOR
3502,2138,STOR
3502,2156,STOR
3502,2174,STOR
3502,2193,STOR
3502,2213,STOR
3502,2231,STOR
3515,2243,STOR
3532,2243,STOR
3551,2243,STOR
3568,2243,COMM
3587,2243,COMM
3604,2243,COMM
3621,2243,COMM
3639,2243,COMM
3656,2243,COMM
3674,2243,COMM
3692,2243,COMM
3712,2243,COMM
3729,2243,COMM
3747,2243,COMM
3764,2243,COMM
3782,2243,COMM
3800,2243,COMM
3820,2243,COMM
3838,2243,COMM
3856,2243,COMM
3874,2243,RIGHTCOM
3892,2243,RIGHTCOM
3911,2243,RIGHTCOM
3930,2243,RIGHTCOM
3948,2243,RIGHTCOM
3967,2243,RIGHTCOM
3990,2243,RIGHTCOM
4009,2243,RIGHTCOM
4022,2257,RIGHTCOM
4022,2275,RIGHTCOM
4022,2293,RIGHTCOM
4022,2312,RIGHTCOM
4022,2330,RIGHTCOM
4022,2348,RIGHTCOM
4022,2366,RIGHTCOM
4022,2384,RIGHTCOM
4022,2406,RIGHTCOM
4022,2424,RIGHTCOM
4022,2443,RIGHTCOM
4022,2462,RIGHTCOM
4022,2481,RIGHTCOM
4022,2499,RIGHTCOM
4022,2517,COMM
4022,2536,COMM
4022,2554,COMM
4022,2573,COMM
4035,2586,COMM
4053,2586,COMM
4071,2586,RIGHTCOM
4089,2586,RIGHTCOM
4108,2586,RIGHTCOM
4120,2599,RIGHTCOM
4134,2600,RIGHTCOM
4116,2600,RIGHTCOM
4096,2600,RIGHTCOM
4078,2600,RIGHTCOM
4055,2600,COMM
4055,2625,COMM
4055,2645,COMM
4055,2663,COMM
4055,2681,COMM
4055,2699,COMM
4055,2718,COMM
4067,2730,COMM
4081,2743,COMM
4093,2756,COMM
4093,2774,COMM
4093,2794,COMM
4093,2800,COMM
