X,Y,Nearest Task
4557,435,CAFERIGHT
4539,435,CAFERIGHT
4520,435,CAFERIGHT
4502,435,CAFERIGHT
4483,435,CAFERIGHT
4466,435,CAFERIGHT
4449,435,CAFERIGHT
4444,435,CAFERIGHT
4444,448,CAFERIGHT
4444,461,CAFERIGHT
4444,479,CAFERIGHT
4444,500,CAFERIGHT
4444,517,CAFERIGHT
4444,536,CAFERIGHT
4444,544,CAFERIGHT
4432,556,CAFERIGHT
4419,569,CAFERIGHT
4410,569,CAFERIGHT
4410,585,CAFERIGHT
4410,605,CAFERIGHT
4410,628,O2
4410,646,O2
4410,665,O2
4410,682,O2
4410,701,O2
4397,713,O2
4379,713,O2
4360,713,O2
4340,713,O2
4322,713,O2
4304,713,O2
4287,713,O2
4269,713,O2
4250,713,O2
4227,713,O2
4210,713,O2
4193,713,O2
4175,713,O2
4158,713,O2
4140,713,O2
4122,713,O2
4104,713,O2
4086,713,O2
4067,713,O2
4049,713,O2
4032,713,O2
4013,713,O2
3994,713,O2
3975,713,O2
3957,713,O2
3939,713,O2
3922,713,O2
3904,713,O2
3886,713,O2
3867,713,O2
3849,713,O2
3831,713,O2
3814,713,CAFERIGHT
3794,713,CAFERIGHT
3776,713,CAFERIGHT
3758,713,CAFERIGHT
3740,713,CAFERIGHT
3720,713,CAFERIGHT
3701,713,CAFERIGHT
3683,713,CAFERIGHT
3665,713,CAFERIGHT
3647,713,CAFERIGHT
3630,713,CAFERIGHT
3611,713,CAFERIGHT
3594,713,CAFERIGHT
3575,713,CAFERIGHT
3556,713,CAFERIGHT
3538,713,CAFERIGHT
3524,727,CAFERIGHT
3524,745,CAFERIGHT
3524,765,O2
3524,784,O2
3524,801,O2
3524,819,O2
3524,837,O2
3512,849,O2
3494,849,O2
3475,849,O2
3458,849,O2
3441,849,O2
3421,849,O2
3403,849,O2
3386,849,O2
3367,849,O2
3349,849,O2
3329,849,O2
3312,849,O2
3294,849,O2
3277,849,O2
3259,849,MED
3241,849,MED
3222,849,MED
3204,849,MED
3186,849,MED
3169,849,MED
3150,849,MED
3132,849,MED
3113,849,MED
3095,849,MED
3077,849,MED
3059,849,MED
3041,849,MED
3022,849,MED
3003,849,MED
2985,849,MED
2966,849,MED
2946,849,MED
2928,849,MED
2910,849,MED
2892,849,MED
2868,849,MED
2844,849,MED
2844,827,MED
2844,808,MED
2844,790,MED
2844,772,MED
2844,753,CAFELEF
2844,735,CAFELEF
2844,716,CAFELEF
2844,698,CAFELEF
2844,680,CAFELEF
2825,680,CAFELEF
2807,680,CAFELEF
2789,680,CAFELEF
2771,680,CAFELEF
2753,680,CAFELEF
2734,680,CAFELEF
2716,680,CAFELEF
2697,680,CAFELEF
2680,680,CAFELEF
2662,680,CAFELEF
2644,680,CAFELEF
2625,680,CAFELEF
2607,680,CAFELEF
2589,680,CAFELEF
2571,680,CAFELEF
2554,680,CAFELEF
2536,680,CAFELEF
2517,680,CAFELEF
2498,680,CAFELEF
2479,680,CAFELEF
2460,680,CAFELEF
2441,680,CAFELEF
2422,680,CAFELEF
2404,680,CAFELEF
2386,680,CAFELEF
2367,680,CAFELEF
2349,680,CAFELEF
2330,680,CAFELEF
2310,680,CAFELEF
2291,680,CAFELEF
2273,680,CAFELEF
2254,680,CAFELEF
2236,680,CAFELEF
2216,680,CAFELEF
2198,680,CAFELEF
2180,680,CAFELEF
2161,680,CAFELEF
2142,680,CAFELEF
2122,680,CAFELEF
2104,680,MED
2085,680,MED
2066,680,MED
2048,680,MED
2030,680,MED
2011,680,MED
1993,680,MED
1974,680,MED
1955,680,MED
1937,680,MED
1919,680,MED
1901,680,MED
1882,680,MED
1864,680,MED
1845,680,REACUP
1827,680,REACUP
1808,680,REACUP
1790,680,REACUP
1771,680,REACUP
1753,680,REACUP
1735,680,REACUP
1716,680,REACUP
1698,680,REACUP
1680,680,REACUP
1661,680,REACUP
1643,680,REACUP
1630,668,REACUP
1630,649,REACUP
1630,630,REACUP
1630,612,REACUP
1630,593,REACUP
1630,574,REACUP
1630,555,REACUP
1617,542,REACUP
1597,542,REACUP
1578,542,REACUP
1559,542,REACUP
1541,542,REACUP
1522,542,REACUP
1504,542,REACUP
1486,542,REACUP
1467,542,REACUP
1449,542,REACUP
1431,542,REACUP
1412,542,REACUP
1390,542,REACUP
1371,523,REACUP
1354,506,REACUP
1341,493,REACUP
1321,493,REACUP
1297,493,REACUP
1278,493,REACUP
