X,Y,Nearest Task
3687,730,CAFERIGHT
3687,717,CAFERIGHT
3687,704,CAFERIGHT
3687,691,CAFERIGHT
3687,678,CAFERIGHT
3687,665,CAFERIGHT
3687,652,CAFERIGHT
3687,639,CAFERIGHT
3687,626,CAFERIGHT
3687,613,CAFERIGHT
3675,613,CAFERIGHT
3662,613,CAFERIGHT
3649,613,CAFERIGHT
3637,613,CAFERIGHT
3624,613,CAFERIGHT
3611,613,CAFERIGHT
3599,613,CAFERIGHT
3586,613,CAFERIGHT
3573,613,CAFERIGHT
3561,613,CAFERIGHT
3548,613,CAFERIGHT
3535,613,CAFERIGHT
3522,613,CAFERIGHT
3509,613,CAFERIGHT
3496,613,CAFERIGHT
3483,613,CAFERIGHT
3481,604,CAFERIGHT
3476,595,CAFERIGHT
3476,586,CAFERIGHT
3466,577,CAFERIGHT
3466,564,CAFERIGHT
3466,551,CAFERIGHT
3479,551,CAFERIGHT
3492,551,CAFERIGHT
3505,551,CAFERIGHT
3518,551,CAFERIGHT
3531,551,CAFERIGHT
3544,551,CAFERIGHT
3557,551,CAFERIGHT
3570,551,CAFERIGHT
3583,551,CAFERIGHT
3596,551,CAFERIGHT
3609,551,CAFERIGHT
3621,551,CAFERIGHT
3621,564,CAFERIGHT
3621,577,CAFERIGHT
3621,590,CAFERIGHT
3621,603,CAFERIGHT
3621,616,CAFERIGHT
3621,629,CAFERIGHT
3621,641,CAFERIGHT
3621,654,CAFERIGHT
3621,667,CAFERIGHT
3621,680,CAFERIGHT
3621,693,CAFERIGHT
3621,706,CAFERIGHT
3621,719,CAFERIGHT
3634,719,CAFERIGHT
3647,719,CAFERIGHT
3659,719,CAFERIGHT
3672,719,CAFERIGHT
3685,719,CAFERIGHT
3698,719,CAFERIGHT
3711,719,CAFERIGHT
3723,719,CAFERIGHT
3736,719,CAFERIGHT
3749,719,CAFERIGHT
3761,719,CAFERIGHT
3774,719,CAFERIGHT
3787,719,CAFERIGHT
3800,719,O2
3800,732,O2
3800,745,O2
3800,758,O2
3800,771,O2
3800,784,O2
3800,797,O2
3800,809,O2
3800,822,O2
3800,835,O2
3800,848,O2
3800,860,O2
3800,873,O2
3800,886,O2
3800,898,O2
3800,911,O2
3800,923,O2
3800,936,O2
3800,949,O2
3800,962,O2
3800,975,O2
3800,988,O2
3800,1001,O2
3813,1001,O2
3826,1001,O2
3839,1001,O2
3852,1001,O2
3864,1001,O2
3864,1014,O2
3864,1027,O2
3864,1040,O2
3864,1027,O2
3864,1014,O2
3864,1001,O2
3864,989,O2
3864,976,O2
3864,963,O2
3864,950,O2
3864,937,O2
3864,924,O2
3864,911,O2
3864,899,O2
3864,886,O2
3864,873,O2
3864,860,O2
3864,847,O2
3864,834,O2
3864,822,O2
3864,834,O2
3864,847,O2
3864,859,O2
3864,846,O2
3864,833,O2
3864,820,O2
3864,807,O2
3864,794,O2
3864,781,O2
3864,769,O2
3864,756,O2
3864,743,O2
3864,730,O2
3864,717,O2
3864,704,CAFERIGHT
3864,691,CAFERIGHT
3864,678,CAFERIGHT
3855,669,CAFERIGHT
3842,669,CAFERIGHT
3829,669,CAFERIGHT
3817,669,CAFERIGHT
3804,669,CAFERIGHT
3791,669,CAFERIGHT
3779,669,CAFERIGHT
3766,669,CAFERIGHT
3753,669,CAFERIGHT
3740,669,CAFERIGHT
3728,669,CAFERIGHT
3715,669,CAFERIGHT
3703,669,CAFERIGHT
3690,669,CAFERIGHT
3677,669,CAFERIGHT
3664,669,CAFERIGHT
3651,669,CAFERIGHT
3638,669,CAFERIGHT
3629,660,CAFERIGHT
3620,651,CAFERIGHT
3611,642,CAFERIGHT
3602,633,CAFERIGHT
3593,624,CAFERIGHT
3580,624,CAFERIGHT
3568,624,CAFERIGHT
3555,624,CAFERIGHT
3542,624,CAFERIGHT
3530,624,CAFERIGHT
3517,624,CAFERIGHT
3504,624,CAFERIGHT
3495,615,CAFERIGHT
3482,615,CAFERIGHT
3481,615,CAFERIGHT
3481,602,CAFERIGHT
3481,589,CAFERIGHT
3481,577,CAFERIGHT
3481,564,CAFERIGHT
3481,551,CAFERIGHT
3494,551,CAFERIGHT
3507,551,CAFERIGHT
3520,551,CAFERIGHT
